Task #,Failure Reason,Semantic?,Category,Notes,LLM Eval,Resolved?,
50,Agent,No,Wrong order count/amount (MCP data is correct),Ground Truth Failure,"Agent used status=""complete"" and got 21 orders / $6560.69. Expected: 24 orders / $6560.69. The total amount is correct but the count is wrong — ""fulfilled"" may include orders with statuses beyond just ""complete"" (e.g., ""closed""), or the date boundary is off.",-,
51,Agent,No,Wrong order count/amount (MCP data is correct),Ground Truth Failure,Agent got 9 orders / $1774.62. Expected: 12 orders / $1603.69. Both count and amount are wrong.,-,
118,Agent,,Never navigated to product page (program_html eval),,"Agent searched ""night guard bruxism"" via browser, found results, then declared the task ""complete"" and called noop() 8 more times until truncation",-,
124,Agent,Yes,Incomplete product search results,,,-,
125,Agent,Yes,Incomplete product search results,,,-,
141,Agent,Yes,Wrong item categorization / amount calculation,Product search likely fails semantically,,-,
142,Agent,Yes,Wrong item categorization / amount calculation,Product search likely fails semantically,,-,
143,Agent,Yes,Wrong item categorization / amount calculation,Product search likely fails semantically,,-,
144,Agent,No,"Correct answer, wrong token format","Correct answer, strict benchmark eval","Agent answered ""$0.00"", expected must_include: ['0']. WebArena's evaluator intentionally uses tokenization for single-character references to prevent false positives. Token ""$0.00"" does not match token ""0"". The agent's answer is semantically correct but should have said ""0"" or ""$0"" to match.",No,
146,Pipeline,No,MCP Data Gaps,,"The MCP get_order_details query on sales_order_item does not include the product_options column, which contains the serialized configuration (color, size) selected at purchase time.",Yes,
147,Agent,No,Answer buried in multiple messages,"Correct answer, strict benchmark eval",,No,
148,Pipeline,,MCP Data Gaps,,"The MCP get_order_details query on sales_order_item does not include the product_options column, which contains the serialized configuration (color, size) selected at purchase time.",Yes,
149,Pipeline,,MCP Data Gaps,,"The MCP get_order_details query on sales_order_item does not include the product_options column, which contains the serialized configuration (color, size) selected at purchase time.",Yes,
150,Pipeline,,MCP Data Gaps,,"The MCP get_order_details query on sales_order_item does not include the product_options column, which contains the serialized configuration (color, size) selected at purchase time.",Yes,
158,Agent,Yes,No browser fallback when MCP returned 0 results,,"url_match task: MCP search_products(name=""Nintendo Switch game card case"") returned 0 results. Agent reported ""Found 0 products"" and terminated. Should have fallen back to browser search.",No,
160,Agent,Yes,Wrong product selected,"Likely improved by semantic search, no guarantee of success","Agent navigated to a different card case (product 18448, holds 40 cards at $11.99) instead of the expected Heiying 24-slot case",No,
163,Agent,No,Ground Truth / Reference Answer Error,,must_include splices text from two different reviews into one string — impossible to match,No,
165,Agent,No,Ground Truth / Reference Answer Error,,"must_include removes a middle sentence (""They are so cute!"") from the actual review text — impossible to match verbatim",No,
167,Agent,No,Ground Truth / Reference Answer Error,,"The DB review has two spaces (""on it. I guess"") but the must_include expects one space (""on it. I guess"") — fails on whitespace",No,
226,Agent,Yes,MCP Search Over-Matching,"The $508.37 product is ""Polk Audio PSW505 12-Inch Powered Subwoofer (Single, Black) & Amazon Basics Subwoofer Cable - 15 Feet” - Should not match, MCP name query is extremely simplified",This is somewhere between a ground truth ambiguity and an MCP search over-matching — the MCP's text-based name search casts a wider net than the website's brand filter.,No,
229,Agent,Yes,MCP Search Over-Matching,The benchmark's expected max of $38.99 is the actual most expensive true UGREEN product (UGREEN 65W USB C Wall Charger).,"Same pattern as 226. The most expensive result at $189.99 is ""Beaugreen Dining Chairs"" — a ""Beaugreen"" product, not UGREEN. It matches because ""ugreen"" is a substring of ""Bea**ugreen**"".",No,
238,Agent,Yes,MCP Search Over-Matching,,"MCP returned 0 results for ""PS4 Accessories"" — the actual category name is ""PlayStation 4"" > ""Accessories""",No,
240,Agent,No,Agent Instruction Mismatch,"Agent returned a list of products, rather than navigating to the page ",MCP returned 114 products — but agent reported via send_msg_to_user instead of calling goto() to navigate to the product page,No,
241,Agent,No,Agent Instruction Mismatch,"Agent returned a list of products, rather than navigating to the page ","MCP returned 200 products, agent reported via message instead of navigating",No,
242,Pipeline,No,MCP Search Under-matching,"Truncation is the confirmed root cause. The limit=200 cap in search_products silently dropped 89 products including the most expensive one. This is a pipeline issue — the tool's hard cap is causing incorrect results for ""find the most/least expensive"" queries on large categories.","Agent found and navigated to a $179.99 battery, but the expected product is a Lynx 200Ah battery (different, more expensive product) MCP search_products has a limit=200 cap which may have truncated results, causing the agent to miss the actual most expensive item",Yes,
263,Agent,No,URL Mismatch,Agent went to http://localhost:7770/clothing-shoes-jewelry/women.html?cat=143. Vs localhost:7770/clothing-shoes-jewelry/women/clothing.html,"This is an agent navigation failure — the agent should have used list_categories via MCP to get the canonical url for ""Women > Clothing"" and done a direct goto() to that URL, rather than clicking through the menu and applying filters. The MCP url field approach (which we added to magento_products.py) would have taken the agent straight to the right URL in one step.",No,
264,Pipeline,No,URL Mismatch,Magento URLs reformat for SEO,"Agent navigated to the correct category page but used /catalog/category/view/id/187. Now list_categories() returns ""url"": ""http://localhost:7770/office-products/office-furniture-lighting/cabinets-racks-shelves.html"" and the prompt tells the agent to use it. Same page, correct URL.",Yes,
277,Agent,No,Ground truth / reference answer error,,"The task intent literally says Search for ""batteries for iphone 13"" — the agent correctly searched for exactly that phrase, But the expected URL is ?q=iphone+13, which is a different search query",,
279,Agent,Yes,MCP Search Under-matching,,"The agent filtered too aggressively — only included products with ""Bluetooth"" explicitly in the name, missing models like WI-C300, XB950N1, and H900N which are Bluetooth but don't say so in the name",No,
280,Agent,No,Ground truth / reference answer error,,The product name in the DB has extra spaces (/ 13 Pro/) that don't match the reference answer. Same class of issue as task 167 — a whitespace discrepancy between the DB data and the benchmark's expected string.,No,
281,Agent,No,Agent reasoning failure,,"Agent found both products and their pack prices ($12.99 for 2-count, $14.98 for 4-pack) Evaluator expects per-brush prices: $14.98 / 4 = 3.745 and $12.99 / 2 = 6.495 The task says ""price range per brush"" — agent reported pack prices instead of dividing MCP data is correct; agent misunderstood the question",No,
282,Agent,Yes,MCP Search Under-matching,Semantic search would resolve this,"Agent searched for ""Nike slide slipper"" then ""Nike slide"" — missed ""Nike womens Benassi Just Do It"" because that product doesn't have ""slide"" in its name The product exists in the DB at $27.60 and is indeed a slide slipper, but the MCP name search couldn't find it with the ""slide"" keyword Also missing the min price 27.6 (the very product it missed) Agent's search strategy was too narrow",No,
